brand_id,brand_name,country
BR00000,"Roberson, Bird and Peterson",Portugal
BR00001,Gates Inc,Mayotte
BR00002,"Wright, Stevens and Anthony",Hong Kong
BR00003,Francis-Thompson,Poland
BR00004,"Curtis, Phelps and Lee",Chad
BR00005,Clark-Brennan,South Georgia and the South Sandwich Islands
BR00006,"Casey, Sims and Shaw",Uganda
BR00007,Williams Inc,Saint Helena
BR00008,Snyder-Smith,United Arab Emirates
BR00009,"Romero, Arnold and Moss",Italy
BR00010,Johnson-Berry,Dominican Republic
BR00011,Owens PLC,Guinea-Bissau
BR00012,Elliott-Espinoza,Christmas Island
BR00013,Young-Wright,San Marino
BR00014,Young PLC,Romania
BR00015,"Jones, Gomez and York",Nauru
BR00016,Kirby-Thompson,Canada
BR00017,Huerta PLC,Panama
BR00018,Williams-Jenkins,Azerbaijan
BR00019,Friedman-Schmidt,Seychelles
BR00020,Frazier PLC,Morocco
BR00021,Carr-Rogers,Argentina
BR00022,Crawford-Perry,United States of America
BR00023,Stewart and Sons,Central African Republic
BR00024,Hahn-Osborne,Costa Rica
BR00025,Taylor-Palmer,Cyprus
BR00026,Mcmillan Ltd,Reunion
BR00027,"Jones, Acosta and Rogers",Slovenia
BR00028,Thomas-Cisneros,Hong Kong
BR00029,Evans-Burns,Lebanon
BR00030,"Cervantes, Montes and Parsons",Thailand
BR00031,"Savage, Walker and Willis",Belize
BR00032,Landry-Cooper,Poland
BR00033,Baker-Wilson,Mauritius
BR00034,Brown-Thompson,Libyan Arab Jamahiriya
BR00035,Wagner PLC,Botswana
BR00036,"Cross, Thornton and Benson",Fiji
BR00037,Black LLC,Solomon Islands
BR00038,"Rodriguez, Calderon and Fuentes",Namibia
BR00039,"Smith, Burns and Green",Guinea-Bissau
BR00040,Garcia PLC,Tanzania
BR00041,Smith Inc,French Guiana
BR00042,"Melton, Jackson and Harding",Mali
BR00043,"Schroeder, Morse and Matthews",Sweden
BR00044,"Gilbert, Harvey and Rangel",Romania
BR00045,Jacobson Group,Micronesia
BR00046,Brewer-Edwards,Singapore
BR00047,Berg PLC,Cyprus
BR00048,Moyer-West,Slovakia (Slovak Republic)
BR00049,Mann PLC,Peru
BR00050,Walker Group,Serbia
BR00051,Williams Group,Turkmenistan
BR00052,"Moore, Lewis and Kelley",Iran
BR00053,"Armstrong, Patterson and Pace",Isle of Man
BR00054,Casey-Salazar,Vanuatu
BR00055,Rodriguez-Mckenzie,Nicaragua
BR00056,"Sexton, Heath and Smith",Brunei Darussalam
BR00057,Lambert-Simon,Ghana
BR00058,"Simmons, Chapman and York",Mongolia
BR00059,"Simpson, Rivera and Owens",Iceland
BR00060,"Campbell, Graham and Johnson",Cocos (Keeling) Islands
BR00061,Yang-Salas,Cayman Islands
BR00062,Farmer-Watts,Kenya
BR00063,Richmond PLC,Ireland
BR00064,Hoover and Sons,Bolivia
BR00065,"Young, Stein and Perez",United Kingdom
BR00066,"Fox, Owens and Williams",Svalbard & Jan Mayen Islands
BR00067,Romero and Sons,Finland
BR00068,Chen-Smith,Pakistan
BR00069,Harrison Ltd,Togo
BR00070,"Morgan, Williams and White",Holy See (Vatican City State)
BR00071,Hall PLC,Finland
BR00072,"Santiago, Walker and Pittman",Vanuatu
BR00073,Johnson-Miller,Thailand
BR00074,"Gardner, Gonzalez and Cook",Liberia
BR00075,Clarke Inc,Netherlands Antilles
BR00076,"Garrett, Bernard and Johnson",Pitcairn Islands
BR00077,"Nelson, Price and Leon",Latvia
BR00078,"Parker, Adams and Whitney",Croatia
BR00079,"Reyes, Murphy and Reynolds",Central African Republic
BR00080,"Brooks, Martinez and Sherman",Equatorial Guinea
BR00081,Rose Ltd,Ghana
BR00082,"Frazier, Smith and Pierce",Niue
BR00083,Wood and Sons,Moldova
BR00084,Spencer-Beltran,Japan
BR00085,Cook-Randall,Turks and Caicos Islands
BR00086,"Livingston, Smith and Norman",Cyprus
BR00087,Wright and Sons,French Guiana
BR00088,"Ford, Krueger and Tucker",Finland
BR00089,Keller and Sons,Nepal
BR00090,Rose and Sons,Palestinian Territory
BR00091,Gardner-Morse,Mali
BR00092,Perry-Boyd,Gambia
BR00093,Hensley Ltd,Bhutan
BR00094,Williams-Mata,Saint Helena
BR00095,Frost-Tanner,Grenada
BR00096,"Johnson, Webb and Michael",Christmas Island
BR00097,"Townsend, Stephens and Kelley",United States Minor Outlying Islands
BR00098,"Jordan, Spencer and Garrison",Mauritania
BR00099,Gonzales and Sons,Uzbekistan
