attribute_id,sku_id,color,size,material,gender,season
3469140c-4a89-47f0-8059-72c435f944a4,SKU000000,Red,M,Leather,Women,All Season
4baa47f3-edea-4e5c-97e2-a8714faa08ff,SKU000001,Blue,L,Leather,Women,Summer
b2e1ef0d-a95f-427b-a535-71cd707e0b6c,SKU000002,Blue,XL,Polyester,Men,Summer
a8f91ae2-4d97-40a3-8114-fcc591ec8bfb,SKU000003,Black,XXXL,Cotton,Men,Winter
842341b3-37b8-4319-9fe1-95440d3dd822,SKU000004,Black,M,Denim,Women,Summer
fca5e8f6-aa61-413f-a4e8-eb7f6615ba72,SKU000005,Green,XS,Cotton,Men,Winter
893b0e7e-eade-47a4-b73b-6d51666493b7,SKU000006,Red,M,Leather,Women,Winter
f423835b-ac03-4d71-83c6-b6457d446459,SKU000007,White,S,Cotton,Men,All Season
57540874-2a8c-48d7-87d8-38d4d7540e08,SKU000008,Black,XS,Leather,Men,All Season
a2e62aa3-f529-465d-a473-50b9f3d4d78b,SKU000009,Black,XL,Polyester,Women,Winter
cb429ee8-6c2c-4726-a986-7d0aff44b5f3,SKU000010,White,XL,Denim,Men,All Season
4cffa885-a54d-488b-a200-afeb7da62b29,SKU000011,Red,L,Leather,Men,All Season
4f6360e1-21bc-40c4-8235-c585c8ff1762,SKU000012,Red,XXXL,Leather,Women,All Season
94d501ab-b63b-4564-8d02-3b3019274288,SKU000013,Green,L,Denim,Men,Winter
34f42a39-73f3-4096-87be-6b634610c32b,SKU000014,Black,XS,Cotton,Men,All Season
e9aa072d-f10e-4e7e-8ced-a7282bc96a19,SKU000015,White,M,Leather,Men,All Season
11207542-dbfa-4f54-92be-29c1878de5dc,SKU000016,White,S,Leather,Women,All Season
93cbffa9-60a0-4fd6-aa46-62c265af034c,SKU000017,Red,S,Cotton,Women,All Season
7b199fab-8fde-46e8-be55-240c61c4f624,SKU000018,Red,XXL,Leather,Women,All Season
4b53f6d6-4894-4a69-b45e-cf7b401f8a47,SKU000019,Green,XXL,Leather,Men,All Season
7e108323-d334-4949-891a-dd04306766de,SKU000020,Red,S,Polyester,Men,Winter
7248a8b5-54dd-4d8e-b104-d456db6b1e38,SKU000021,Green,XXXL,Leather,Men,Summer
6c17f340-e6eb-43b7-9156-d182aada8bee,SKU000022,Green,XXL,Polyester,Women,All Season
2ef4e753-ff80-4fd0-8125-57b6071e115e,SKU000023,Red,XL,Polyester,Women,All Season
2809337a-b3bc-41e5-b254-64b6c7bd81e1,SKU000024,Blue,XXL,Cotton,Men,Summer
8f3e02b2-ce59-412f-b034-0cad1cd849e7,SKU000025,Blue,XXXL,Leather,Men,Winter
3ef3ba0c-94ea-4656-809f-9ca9fdc1c959,SKU000026,Blue,XXL,Leather,Women,Summer
763b20f0-75f9-4047-9149-f5692bca8127,SKU000027,Black,XXXL,Denim,Women,Summer
ccd1ac81-ec93-471e-a872-8730b7316d82,SKU000028,Black,L,Leather,Men,Winter
2a24e6a1-a8fc-48fe-8b2c-624f781e793d,SKU000029,Green,XL,Cotton,Men,All Season
2876bea3-7359-49df-ba6a-149c95043937,SKU000030,Red,M,Leather,Women,Winter
5935d958-126a-4f63-bfe4-0e9b8e18f102,SKU000031,Green,L,Polyester,Women,All Season
66e6a22d-457d-4a3f-a4d7-b1ceea6af0f0,SKU000032,White,XXL,Denim,Women,Summer
64394baf-2aef-4c83-9055-0198af0807ff,SKU000033,Red,XXXL,Denim,Men,Winter
7c88f55b-0eac-4496-8853-efe9d034cbed,SKU000034,Red,S,Denim,Men,Summer
7e0ccba1-f568-40f6-924e-b4fb6a3e320b,SKU000035,Black,XL,Denim,Women,Summer
abd10f3a-d1de-40a4-af14-3e7f4302b3ab,SKU000036,Blue,S,Denim,Men,Winter
f2fb2c2b-1838-4f45-bcec-fccff34eab36,SKU000037,Green,M,Denim,Women,Summer
05aadfd0-167d-47fe-b503-5b6e5fd27da5,SKU000038,Black,S,Polyester,Women,Summer
1f0a0fc6-aa79-4735-b2ab-1a1adf58993f,SKU000039,White,XXL,Leather,Women,Summer
199a6394-7815-4daf-9ac7-639da3735e4f,SKU000040,White,XL,Leather,Women,All Season
7115b38d-50e0-4460-9ee0-e0f20b18134a,SKU000041,Red,L,Leather,Men,Summer
55ae97d0-0b3d-45f4-b9ba-8d2c015da917,SKU000042,Red,XXXL,Leather,Women,Winter
66041210-3a09-4e5e-887a-fed95abc647b,SKU000043,White,S,Polyester,Men,All Season
ba9e6ceb-7ddd-46e5-b046-fc164b4df353,SKU000044,Black,L,Cotton,Women,All Season
b251d2ac-5ac8-4919-9421-6a06b28988ce,SKU000045,Blue,XS,Denim,Women,Winter
45b2e08c-ff81-4c74-9e9b-1958c8f4d506,SKU000046,Blue,M,Polyester,Men,Summer
8d99c741-7287-4c6e-a722-c46fe73f6fde,SKU000047,Green,XXXL,Leather,Men,All Season
912a0c76-97c3-48de-8ec8-7baaf31b7dc7,SKU000048,Blue,XS,Cotton,Women,Winter
3a319477-b90a-4c49-b351-a0096c0bfa86,SKU000049,Blue,XS,Cotton,Women,All Season
8c871a75-5aae-4eb3-a86e-6a37660fc93a,SKU000050,Black,XXL,Denim,Men,Winter
7f6d49fb-f4c0-4711-9125-b904a8252096,SKU000051,Black,L,Denim,Men,All Season
fb355dc8-874a-4105-853e-927524f23b23,SKU000052,Green,L,Cotton,Women,Summer
78a067c7-c9cf-484a-bcff-9e31cbaf577e,SKU000053,Red,L,Denim,Women,All Season
2f020d89-b06b-4184-9063-8a03bff08991,SKU000054,Black,XXL,Leather,Men,Winter
4978ba1b-7270-4831-9eb2-9dc5b4932bd7,SKU000055,Red,M,Leather,Women,Summer
d81e965f-695b-4b78-88f1-0795a4e242f5,SKU000056,White,XS,Polyester,Men,Summer
35b396f2-6bd1-4034-8902-f127a2d215b3,SKU000057,Black,S,Denim,Women,Summer
fa855f00-388f-4303-a25d-a92b9e4ba283,SKU000058,Green,XXL,Leather,Men,All Season
c97d36fa-653c-4b27-9d43-c0741dff34e6,SKU000059,Black,XXL,Leather,Men,Winter
08daeebd-4461-4164-901d-64a4931e4eba,SKU000060,Green,L,Polyester,Men,All Season
1c90c1ab-8197-46b0-abe5-55590ad2daa3,SKU000061,Red,L,Polyester,Women,All Season
adba6ef6-1454-4f6a-8ece-aa12771689ba,SKU000062,Green,L,Polyester,Men,Summer
4856de54-d3d0-436a-946d-cfbc64a4605b,SKU000063,Black,L,Cotton,Men,All Season
a3af0d6a-6f5b-429e-81fb-222c425c98fd,SKU000064,White,M,Leather,Men,All Season
c35ceb9a-4c45-4bfc-b1ad-c6b1ebd2a0c4,SKU000065,Green,XS,Leather,Women,Winter
e40c9d7d-9d00-4e49-956f-f52cf74e0e42,SKU000066,Green,XXL,Cotton,Women,Winter
fce23091-d6aa-4bb2-8a75-1c8dfc01a74e,SKU000067,Red,XL,Polyester,Men,Summer
b26cd8b2-f518-49a4-b831-76b0a3594740,SKU000068,Blue,XXXL,Cotton,Men,Winter
c4807017-0e2a-462a-907c-ead9b78f8d87,SKU000069,Blue,XXL,Leather,Women,Winter
fa03009d-2b7e-4b86-806d-1ecdd4808ce7,SKU000070,Black,XS,Leather,Women,Winter
2fd5ed57-1f64-413d-b59d-708756ca10df,SKU000071,White,L,Leather,Women,Winter
e855f82a-85bb-471a-828e-be7a0a28c858,SKU000072,Black,S,Denim,Men,Summer
b1255526-c8ab-4090-a08d-4c89b84dbc41,SKU000073,Black,S,Leather,Women,All Season
704b3d17-d33d-4856-9739-90e2edc44e5e,SKU000074,White,S,Cotton,Women,Winter
fe88dec2-fa15-4bca-8c74-c45ed7ca9de8,SKU000075,White,XXXL,Cotton,Women,Winter
7ca5605a-47ad-4e89-8a68-366eced5d4ca,SKU000076,Red,L,Leather,Men,All Season
7786890e-37c7-4f1f-abb1-4afc6a646e04,SKU000077,Blue,XS,Cotton,Women,Winter
8c42755f-787e-48f8-b08a-8c97902e7718,SKU000078,White,XS,Denim,Men,Summer
bef1430b-25c2-497f-bfbe-ba0553ee9d16,SKU000079,Red,M,Denim,Men,Winter
42634cce-bad3-4a7f-a7c5-4a165316c6ac,SKU000080,Red,L,Leather,Men,All Season
ef01b0eb-69d5-434b-b4a7-4a3e0e9763b9,SKU000081,Green,L,Denim,Women,All Season
b86c4ede-98df-48ef-a175-325a2ec3a10d,SKU000082,White,S,Cotton,Men,All Season
f085f0a0-7f81-44e0-9f1d-0068fe98547b,SKU000083,White,M,Leather,Men,All Season
92c626c6-e65d-4a70-93e5-efdea9d7e1df,SKU000084,White,S,Denim,Women,All Season
c14a8d77-eabd-4250-a8c1-36ceb9d03bf4,SKU000085,Green,XXXL,Denim,Men,All Season
0f9e310d-bbba-4ff4-b857-6c347b6ce1fe,SKU000086,White,XL,Leather,Men,Summer
5d2b112c-beb9-4788-9f8d-4d477057ee18,SKU000087,Blue,S,Cotton,Women,Winter
363c9b7a-84ce-418a-b76c-e3ed1434ebbc,SKU000088,Blue,L,Denim,Men,All Season
04c2f4ed-3355-477a-a8fd-de855543167c,SKU000089,White,XS,Leather,Women,Summer
5841af33-2067-49d3-bb9a-322b21ff31ec,SKU000090,Red,XL,Cotton,Men,Summer
fa97ed82-e110-47f9-8c27-8654959729f7,SKU000091,Green,XXXL,Denim,Women,Winter
c7abc762-078c-48fb-a50d-9d3c074ec4e4,SKU000092,Red,XL,Leather,Women,Winter
b9c8805a-9b10-455d-a461-169542e1e280,SKU000093,Black,XXXL,Cotton,Women,Winter
cf41a35a-8781-4d27-8a9b-4f4e51ba03d7,SKU000094,White,M,Denim,Men,Summer
9b21e323-3faf-4551-983e-7be80b4f0b3f,SKU000095,Red,M,Polyester,Women,Winter
f3db4a5f-4128-469f-ba82-cac02c5206b2,SKU000096,Black,XS,Denim,Women,All Season
074680c7-5500-4f47-9712-bacdb90243d1,SKU000097,Green,XS,Denim,Men,All Season
d31a22a3-a56a-4a46-8cc3-8498c53eba60,SKU000098,Blue,XXL,Denim,Women,Summer
eba4cf8c-fa65-4bef-a0f5-caa65f24175c,SKU000099,Green,S,Leather,Women,Winter
4a038a34-3dcd-4bea-8650-57ecb0e1be9f,SKU000100,Black,XXXL,Leather,Women,Winter
d57c5500-ca2b-4d27-ae3a-c8f91ac5da45,SKU000101,Black,L,Cotton,Women,Winter
9822437d-e3a3-4da9-a90e-aa157ac73dbf,SKU000102,Red,XS,Denim,Women,Summer
5d5c9aef-065b-4e28-bcf0-0406ad807ca8,SKU000103,White,XS,Polyester,Women,All Season
515cde78-4ae7-4e12-9809-769b84acedb5,SKU000104,White,XS,Denim,Men,Winter
39219d71-449a-4c36-8e44-402b5330e33b,SKU000105,White,XXXL,Polyester,Men,Winter
3a4729bd-de25-4c91-a357-7f371f424e0e,SKU000106,Red,XXXL,Denim,Women,All Season
4988755b-9964-482a-9cc9-b2da8bc8a6c0,SKU000107,Black,XXL,Polyester,Men,All Season
b5a4042d-4006-4c5b-bd36-7b9ba8a54abd,SKU000108,Green,XS,Cotton,Men,Summer
47ac1a02-e32f-48f8-a8d0-69773c183671,SKU000109,Blue,S,Leather,Women,Summer
e7df5d0a-9c93-4b11-a492-33a375503370,SKU000110,Black,L,Cotton,Women,All Season
d04ef849-f117-4bdf-84ff-f026476c019a,SKU000111,Red,XL,Polyester,Men,Summer
a321ef9c-973e-4ea9-99da-2d725f93a3e0,SKU000112,Red,XXL,Denim,Men,Summer
1b1a52b2-e752-4b23-b9be-e31540acffe2,SKU000113,Green,XL,Denim,Women,Winter
09b41e3d-2b59-4edd-9d71-11c0d67585b4,SKU000114,Blue,S,Cotton,Women,Winter
7762d2c0-3211-4317-99c4-759995dde422,SKU000115,Green,XXL,Polyester,Men,All Season
e0359fe8-92fb-418f-a1ec-386bd466a0f5,SKU000116,Red,XXXL,Denim,Men,Summer
d0a28d9e-4870-470a-bdea-615c9221c31f,SKU000117,Red,S,Polyester,Men,Winter
59126e9c-c1b9-4f25-8e8a-02bcae736817,SKU000118,Green,XXXL,Cotton,Women,Winter
3eab4686-a1f2-4557-a5f5-e1ddb1152b5e,SKU000119,Blue,XXL,Denim,Men,All Season
7ffadc0b-ed15-4c63-b7d4-eb14a53dd0e0,SKU000120,Green,S,Polyester,Women,Winter
b2fdc6af-54be-454a-a085-446d0b2863b7,SKU000121,White,S,Cotton,Men,Summer
6f431c0b-436a-4e9b-ac51-2863fd902aa4,SKU000122,White,M,Cotton,Women,Winter
f118289f-b4fa-451e-9b50-92d50d4371d2,SKU000123,Red,L,Polyester,Men,Winter
790ce602-d52b-400b-b97a-50401d36190f,SKU000124,White,L,Cotton,Men,All Season
942785cd-cc11-4b52-bbc0-e7fa62c3161d,SKU000125,Red,XXL,Denim,Women,Summer
9ab8790c-f366-4ce3-a97c-9cdd595390d2,SKU000126,Blue,L,Leather,Men,Winter
ec1ace8c-c565-4713-b5d8-f6ce5206cb8f,SKU000127,Red,XXL,Denim,Men,Winter
f428f41e-b22b-47c6-950e-0847b2fae4a8,SKU000128,White,XL,Denim,Men,All Season
3e90903f-7b96-4507-9dcb-ff7fdd8bedae,SKU000129,Red,XS,Polyester,Men,All Season
7ec857d5-301c-4db5-a32f-f2aaceed9f98,SKU000130,Red,S,Leather,Men,All Season
55e2a1e2-c785-4589-a2ff-f858abc52e7e,SKU000131,White,XL,Denim,Women,Winter
5b3840de-fc02-4a78-a33b-9dd931f5f648,SKU000132,White,XS,Cotton,Men,All Season
fc347858-1435-4490-9ea3-8a70c056bf2b,SKU000133,Black,XXXL,Leather,Women,All Season
4f9a2a27-cfd9-4edb-83f3-da45b2fc0a6b,SKU000134,Green,XL,Leather,Women,All Season
808d9a75-cc2d-41d5-a538-a4ceae6a24bb,SKU000135,White,S,Cotton,Men,Winter
141b38ae-8812-433b-9e57-0c0a8438e651,SKU000136,Green,S,Leather,Men,Winter
da230031-4a0d-4bb5-a1f8-dc1fbe2cd3b4,SKU000137,Green,XL,Leather,Women,Summer
51305471-a8e4-4261-80b2-eaa339a6b780,SKU000138,Green,L,Cotton,Women,Summer
0a9d2a98-4aed-4e36-80a5-a8be9c2f1701,SKU000139,Green,XL,Cotton,Men,Winter
3301e2df-25fe-4cb0-b8b8-ef7d0d73ecfd,SKU000140,Blue,XXXL,Denim,Men,Summer
97b3b17c-22a9-4d0f-b33c-2535baab9ef9,SKU000141,White,XL,Denim,Women,Summer
40bf2e64-6bad-4ab3-a013-78734281901c,SKU000142,Green,M,Leather,Men,Summer
185d3218-24bb-421b-964f-a2c3c938bc0d,SKU000143,White,M,Denim,Women,Summer
a9f967bd-1c61-4d50-8c56-b3ad0dceece6,SKU000144,Red,XXL,Denim,Women,Summer
a912d882-2099-48db-a1d2-fd6ce54f05c3,SKU000145,Green,S,Leather,Men,Winter
a56d5615-aa0a-4633-b13d-e5bbc5f9b592,SKU000146,Black,XXL,Cotton,Women,All Season
2736d17f-f778-4977-b91c-873bdad774fd,SKU000147,Red,XS,Leather,Men,All Season
3ee2bd30-feef-44c1-a5d8-ed6e21b12389,SKU000148,White,XS,Polyester,Men,Winter
ebab5166-a381-4e68-9e47-adc81c45e432,SKU000149,Green,XL,Polyester,Women,All Season
395f3a76-25ab-4c08-a17b-3a61be1cdee3,SKU000150,Green,M,Cotton,Women,Winter
53fdfb7f-9a4c-4650-8f80-203eafb57efc,SKU000151,Black,XL,Cotton,Women,Summer
11fe26a3-55e1-45e9-b5dd-ef619fb5daf1,SKU000152,Black,XXXL,Denim,Women,Winter
6b2a47ce-b5ae-4a19-a706-faafae9ce8a5,SKU000153,Blue,L,Leather,Men,All Season
25905df9-6435-49fe-bc89-e3003081ba1e,SKU000154,Black,XXL,Leather,Men,Summer
2b7d1b50-0d41-4e72-8fa7-13516897cc22,SKU000155,White,XS,Denim,Women,Summer
d67c9117-ce49-4c06-916d-20c762e5410f,SKU000156,White,XXXL,Cotton,Men,Summer
d80ac65c-c782-4af4-92a8-fb3e47c6ae34,SKU000157,Blue,M,Leather,Men,Summer
30aaa1fe-318f-4453-a2f4-f6f1ed627601,SKU000158,Blue,M,Cotton,Men,All Season
214d153a-d666-482f-877a-70ad1de0c6fb,SKU000159,Green,XS,Cotton,Men,All Season
e6251b06-f7fb-44fc-afcd-2b2c50a31dc1,SKU000160,Black,L,Polyester,Women,Winter
10c67fd3-3a1e-4c60-bd92-6b85d53f23f6,SKU000161,Green,XL,Cotton,Women,Winter
69dcacc2-5c7c-474b-8c15-d52806d45c28,SKU000162,White,L,Denim,Women,All Season
87497d98-3d24-4f8e-b40e-1eda3593f952,SKU000163,Blue,M,Leather,Men,Winter
3d062971-f324-4dfc-9f3b-74ee79fcff61,SKU000164,Black,XXL,Cotton,Women,Summer
a976ad86-77b0-4314-bace-d4f4c37ac04a,SKU000165,White,XS,Leather,Men,Winter
dde26ddf-acfb-4963-b0e0-c98d42dadda0,SKU000166,Black,L,Denim,Women,Summer
472d73bc-54ab-4a93-b6bb-42d927231594,SKU000167,Blue,XXXL,Denim,Men,All Season
a6e045ae-bafa-45cf-b1f2-75accbf86951,SKU000168,Red,L,Polyester,Women,All Season
684d246e-1143-4ca1-a23e-8bbe6930b028,SKU000169,Blue,XXL,Denim,Women,All Season
54502645-fea0-44bd-9f57-4cdf36a80073,SKU000170,Black,XS,Leather,Women,Summer
fea54344-8e63-4f21-9441-e1cb85cb1f98,SKU000171,White,XXL,Denim,Women,All Season
b56bdfc9-c922-42c3-be97-053584b8dd4f,SKU000172,Red,L,Denim,Women,Winter
eb27bad5-29d7-41ef-8bb6-433909d9d6b7,SKU000173,White,XXXL,Polyester,Women,All Season
38bf39e3-7e55-4921-b935-70e270da23ee,SKU000174,Green,XL,Denim,Men,All Season
28c5f5cd-d9b0-4dfa-a730-29668f7ecdef,SKU000175,Blue,M,Leather,Men,Summer
7fe8f0a2-2470-49db-9dfd-16e6a8665fbe,SKU000176,Black,M,Polyester,Women,All Season
f039bc6f-2ffe-45e6-96ba-0e3899fe4bd1,SKU000177,Red,XXXL,Cotton,Women,All Season
76972a22-0b6c-40ed-9a3b-334732392b78,SKU000178,White,L,Denim,Women,All Season
e372504d-4147-45c4-84fb-035e05d490a9,SKU000179,Blue,S,Leather,Women,All Season
193a30dd-7225-4c20-be14-c66591cf0a5a,SKU000180,Green,S,Denim,Women,Summer
377ef391-31c8-49ba-ac6c-92e4bf382cf0,SKU000181,Green,XXXL,Polyester,Women,Summer
2f4591b6-dda0-445d-8937-4fa6ba843c18,SKU000182,Black,L,Cotton,Men,Winter
c54732b7-ede8-444d-ba8c-5439606fdafa,SKU000183,Red,L,Cotton,Women,All Season
b99ce3ec-d9dc-42e0-b5f4-9784df086443,SKU000184,Blue,XXXL,Cotton,Men,Winter
509493d0-804b-4934-b457-098b6c37a70f,SKU000185,Black,XXXL,Leather,Men,Summer
3b92d9ac-be36-46bd-8098-637535e8757c,SKU000186,Green,XXL,Cotton,Men,Winter
7dbaedcd-fa1f-4dab-8458-1c37960c5380,SKU000187,Green,M,Leather,Men,Summer
ebc22615-6c57-4ce4-9e6d-69f210cc01ea,SKU000188,Black,M,Polyester,Women,Summer
c6cf1987-9adf-4929-8068-f3396745b1ee,SKU000189,White,XXL,Denim,Women,Summer
cf22f3ac-1548-4f2d-befd-6f6dd4bf47d4,SKU000190,Black,XXL,Denim,Women,Summer
5f0e7396-6d16-4330-a373-d4c5a501f9c9,SKU000191,Black,XXL,Polyester,Men,Summer
3aeb5263-e72f-4b72-a416-27883c099327,SKU000192,White,XL,Cotton,Men,Summer
188c38a8-d5d2-4aa2-8dcb-a8bdf9e3080f,SKU000193,Red,XS,Denim,Men,Winter
a1cad1a2-df46-4815-9dc9-29a02c6dd423,SKU000194,Green,M,Polyester,Men,Summer
06cfde57-c815-4cee-ac8e-fba6a0309707,SKU000195,Red,L,Denim,Women,Winter
0a4ccbfb-17a2-4190-ab78-5d172c6dd839,SKU000196,White,M,Leather,Men,Summer
48894df3-7a0a-4cd1-b214-8961f6578ae8,SKU000197,Blue,L,Leather,Men,Summer
cfe0883f-ef42-4f64-a2c9-e0d5d85845a2,SKU000198,Red,XL,Polyester,Men,All Season
bceb766b-e0ae-4f79-8d48-20ed3bdda951,SKU000199,White,XXL,Cotton,Women,Winter
35b7872f-e611-4c47-8e7e-97e15b9aa9c4,SKU000200,Blue,L,Denim,Men,All Season
a04bd9b1-1f19-4ae4-9413-3110a5d2e4b9,SKU000201,Blue,L,Denim,Women,Summer
692fd97b-fd10-45f8-98a8-89777601a1d0,SKU000202,Black,S,Leather,Men,Summer
2ef00a2d-0b6a-40ee-8b26-4ed55d392dee,SKU000203,Black,L,Cotton,Men,Winter
93fcaafe-bffc-4c56-8b5f-35fd81b9b0a0,SKU000204,White,M,Leather,Women,Summer
