sku_id,seller_id
SKU000000,SEL04964
SKU000000,SEL01486
SKU000000,SEL04425
SKU000000,SEL03116
SKU000000,SEL04654
SKU000001,SEL03514
SKU000001,SEL04687
SKU000001,SEL03783
SKU000001,SEL04809
SKU000002,SEL02629
SKU000002,SEL01569
SKU000002,SEL03252
SKU000002,SEL00070
SKU000003,SEL00727
SKU000003,SEL04073
SKU000004,SEL00018
SKU000004,SEL03620
SKU000004,SEL01106
SKU000004,SEL03496
SKU000004,SEL02220
SKU000005,SEL02432
SKU000005,SEL03349
SKU000005,SEL00913
SKU000005,SEL04465
SKU000006,SEL01119
SKU000007,SEL01594
SKU000007,SEL04903
SKU000007,SEL02262
SKU000008,SEL02740
SKU000008,SEL03714
SKU000008,SEL04473
SKU000009,SEL01960
SKU000009,SEL01352
SKU000010,SEL01046
SKU000010,SEL00013
SKU000011,SEL04586
SKU000011,SEL03238
SKU000011,SEL01377
SKU000011,SEL01048
SKU000012,SEL00173
SKU000012,SEL00567
SKU000013,SEL00431
SKU000013,SEL04460
SKU000013,SEL00178
SKU000013,SEL04072
SKU000013,SEL02975
SKU000014,SEL03203
SKU000015,SEL02671
SKU000015,SEL04819
SKU000015,SEL04779
SKU000016,SEL03041
SKU000016,SEL03885
SKU000016,SEL03378
SKU000016,SEL02441
SKU000016,SEL01316
SKU000017,SEL01673
SKU000017,SEL00896
SKU000017,SEL00080
SKU000017,SEL00643
SKU000018,SEL03426
SKU000018,SEL00204
SKU000018,SEL02409
SKU000019,SEL00155
SKU000019,SEL03137
SKU000019,SEL02620
SKU000020,SEL03379
SKU000020,SEL01168
SKU000021,SEL02651
SKU000021,SEL00836
SKU000021,SEL03386
SKU000021,SEL02210
SKU000022,SEL04772
SKU000022,SEL03981
SKU000022,SEL03552
SKU000023,SEL00669
SKU000023,SEL04629
SKU000023,SEL04000
SKU000024,SEL03436
SKU000024,SEL04703
SKU000024,SEL00359
SKU000024,SEL00782
SKU000024,SEL00707
SKU000025,SEL02688
SKU000025,SEL02989
SKU000025,SEL00409
SKU000025,SEL00960
SKU000025,SEL01547
SKU000026,SEL03471
SKU000026,SEL04341
SKU000026,SEL02344
SKU000026,SEL04098
SKU000026,SEL00341
SKU000027,SEL00941
SKU000027,SEL02726
SKU000027,SEL04902
SKU000028,SEL04374
SKU000028,SEL01477
SKU000029,SEL01065
SKU000029,SEL03609
SKU000029,SEL03839
SKU000030,SEL01224
SKU000030,SEL00143
SKU000030,SEL03421
SKU000030,SEL00867
SKU000031,SEL02445
SKU000032,SEL00214
SKU000032,SEL01870
SKU000032,SEL02600
SKU000032,SEL00065
SKU000033,SEL00616
SKU000033,SEL04625
SKU000033,SEL04562
SKU000033,SEL02820
SKU000033,SEL01828
SKU000034,SEL01073
SKU000034,SEL03922
SKU000035,SEL03007
SKU000035,SEL00128
SKU000035,SEL02746
SKU000035,SEL04103
SKU000035,SEL03835
SKU000036,SEL04510
SKU000036,SEL04261
SKU000036,SEL03022
SKU000036,SEL02319
SKU000036,SEL02899
SKU000037,SEL04156
SKU000037,SEL04661
SKU000037,SEL00997
SKU000037,SEL03506
SKU000037,SEL03833
SKU000038,SEL03014
SKU000038,SEL03305
SKU000039,SEL04185
SKU000040,SEL03547
SKU000040,SEL01195
SKU000040,SEL02416
SKU000040,SEL04628
SKU000041,SEL04043
SKU000041,SEL00444
SKU000041,SEL03743
SKU000041,SEL01515
SKU000041,SEL03900
SKU000042,SEL04223
SKU000043,SEL00512
SKU000043,SEL00174
SKU000043,SEL04919
SKU000043,SEL00941
SKU000044,SEL02016
SKU000045,SEL01584
SKU000045,SEL04368
SKU000045,SEL01356
SKU000045,SEL03205
SKU000045,SEL01326
SKU000046,SEL02865
SKU000046,SEL00373
SKU000047,SEL04892
SKU000048,SEL02851
SKU000048,SEL03894
SKU000048,SEL04518
SKU000048,SEL04726
SKU000048,SEL03714
SKU000049,SEL02256
SKU000049,SEL04128
SKU000049,SEL03380
SKU000049,SEL01142
SKU000049,SEL04510
SKU000050,SEL02007
SKU000050,SEL01763
SKU000051,SEL01302
SKU000051,SEL01704
SKU000051,SEL02572
SKU000051,SEL00192
SKU000052,SEL02969
SKU000052,SEL03588
SKU000052,SEL00766
SKU000053,SEL01688
SKU000054,SEL03518
SKU000054,SEL03728
SKU000055,SEL03821
SKU000055,SEL00801
SKU000055,SEL00561
SKU000055,SEL03905
SKU000056,SEL00101
SKU000056,SEL00813
SKU000057,SEL03188
SKU000058,SEL01786
SKU000058,SEL02912
SKU000058,SEL01046
SKU000059,SEL02367
SKU000059,SEL04970
SKU000060,SEL02124
SKU000060,SEL03805
SKU000060,SEL00352
SKU000060,SEL00373
SKU000060,SEL01369
SKU000061,SEL04934
SKU000061,SEL03988
SKU000061,SEL00177
SKU000061,SEL03639
SKU000062,SEL02441
SKU000062,SEL04436
SKU000063,SEL04014
SKU000064,SEL00443
SKU000064,SEL00600
SKU000064,SEL04227
SKU000064,SEL03076
SKU000065,SEL03447
SKU000066,SEL03791
SKU000066,SEL00280
SKU000066,SEL03133
SKU000066,SEL00982
SKU000066,SEL01238
SKU000067,SEL01127
SKU000067,SEL02473
SKU000067,SEL04159
SKU000067,SEL01170
SKU000068,SEL00962
SKU000069,SEL01976
SKU000070,SEL03629
SKU000070,SEL00654
SKU000070,SEL01041
SKU000071,SEL04420
SKU000071,SEL01746
SKU000071,SEL03911
SKU000071,SEL02528
SKU000071,SEL00838
SKU000072,SEL00816
SKU000072,SEL00716
SKU000072,SEL01711
SKU000073,SEL04633
SKU000074,SEL00140
SKU000074,SEL02295
SKU000074,SEL04532
SKU000074,SEL04670
SKU000074,SEL04911
SKU000075,SEL00095
SKU000075,SEL04852
SKU000076,SEL00097
SKU000076,SEL03470
SKU000076,SEL00037
SKU000076,SEL04212
SKU000076,SEL00790
SKU000077,SEL03908
SKU000077,SEL02150
SKU000077,SEL01850
SKU000077,SEL03187
SKU000078,SEL01639
SKU000079,SEL04466
SKU000080,SEL01865
SKU000080,SEL04829
SKU000080,SEL02910
SKU000080,SEL03662
SKU000081,SEL02716
SKU000081,SEL01234
SKU000081,SEL00863
SKU000081,SEL04408
SKU000082,SEL00980
SKU000082,SEL02636
SKU000082,SEL03839
SKU000082,SEL01328
SKU000083,SEL01579
SKU000083,SEL03680
SKU000083,SEL02525
SKU000083,SEL02489
SKU000084,SEL03571
SKU000085,SEL02416
SKU000085,SEL02594
SKU000085,SEL01675
SKU000085,SEL03016
SKU000086,SEL00662
SKU000086,SEL00214
SKU000086,SEL01798
SKU000086,SEL03053
SKU000087,SEL04560
SKU000087,SEL04272
SKU000087,SEL03960
SKU000087,SEL01129
SKU000087,SEL02725
SKU000088,SEL00064
SKU000088,SEL01374
SKU000088,SEL00315
SKU000088,SEL04386
SKU000088,SEL01812
SKU000089,SEL03631
SKU000090,SEL04611
SKU000090,SEL02277
SKU000090,SEL04810
SKU000090,SEL04607
SKU000091,SEL03353
SKU000092,SEL00169
SKU000092,SEL00852
SKU000092,SEL01333
SKU000092,SEL02957
SKU000093,SEL00862
SKU000093,SEL02955
SKU000093,SEL01028
SKU000093,SEL04516
SKU000094,SEL00223
SKU000094,SEL04423
SKU000095,SEL02176
SKU000095,SEL03528
SKU000096,SEL02588
SKU000096,SEL01687
SKU000096,SEL03616
SKU000096,SEL01956
SKU000097,SEL02523
SKU000098,SEL03703
SKU000098,SEL02853
SKU000098,SEL02421
SKU000098,SEL00745
SKU000098,SEL04239
SKU000099,SEL02453
SKU000099,SEL02674
SKU000100,SEL00891
SKU000101,SEL00125
SKU000101,SEL01282
SKU000101,SEL00377
SKU000101,SEL03655
SKU000102,SEL01809
SKU000102,SEL04877
SKU000102,SEL03926
SKU000102,SEL02223
SKU000102,SEL01972
SKU000103,SEL02323
SKU000103,SEL04074
SKU000103,SEL00982
SKU000103,SEL01914
SKU000103,SEL00134
SKU000104,SEL03816
SKU000104,SEL04971
SKU000104,SEL00476
SKU000104,SEL04125
SKU000104,SEL02531
SKU000105,SEL00622
SKU000105,SEL03632
SKU000105,SEL01095
SKU000106,SEL04309
SKU000107,SEL04245
SKU000107,SEL02264
SKU000107,SEL04585
SKU000107,SEL01765
SKU000108,SEL00841
SKU000108,SEL02114
SKU000108,SEL03081
SKU000109,SEL03651
SKU000110,SEL03225
SKU000111,SEL03859
SKU000111,SEL02836
SKU000111,SEL00567
SKU000111,SEL02911
SKU000111,SEL01355
SKU000112,SEL02563
SKU000112,SEL02548
SKU000112,SEL02407
SKU000112,SEL03261
SKU000113,SEL02547
SKU000113,SEL01235
SKU000113,SEL01386
SKU000113,SEL04873
SKU000114,SEL01603
SKU000114,SEL01753
SKU000114,SEL01854
SKU000114,SEL02148
SKU000115,SEL02955
SKU000115,SEL01942
SKU000116,SEL01570
SKU000117,SEL03232
SKU000118,SEL04048
SKU000118,SEL01934
SKU000118,SEL04850
SKU000118,SEL01650
SKU000119,SEL02094
SKU000119,SEL00437
SKU000119,SEL02258
SKU000119,SEL00530
SKU000119,SEL04770
SKU000120,SEL00658
SKU000120,SEL04799
SKU000121,SEL04120
SKU000121,SEL04794
SKU000121,SEL04405
SKU000121,SEL04282
SKU000122,SEL02924
SKU000122,SEL02690
SKU000122,SEL03449
SKU000122,SEL04569
SKU000123,SEL01095
SKU000123,SEL01008
SKU000123,SEL03108
SKU000123,SEL01457
SKU000124,SEL03024
SKU000124,SEL02040
SKU000124,SEL03330
SKU000125,SEL02083
SKU000125,SEL04260
SKU000126,SEL03665
SKU000126,SEL03639
SKU000126,SEL00957
SKU000126,SEL04271
SKU000127,SEL01642
SKU000127,SEL03633
SKU000128,SEL01267
SKU000128,SEL01397
SKU000128,SEL01070
SKU000129,SEL03708
SKU000129,SEL03042
SKU000129,SEL00897
SKU000130,SEL03085
SKU000130,SEL02258
SKU000130,SEL03766
SKU000130,SEL04821
SKU000130,SEL04351
SKU000131,SEL03000
SKU000131,SEL04567
SKU000132,SEL02889
SKU000132,SEL03848
SKU000132,SEL01755
SKU000132,SEL01109
SKU000132,SEL00745
SKU000133,SEL01969
SKU000133,SEL00980
SKU000133,SEL04762
SKU000133,SEL02374
SKU000134,SEL03437
SKU000134,SEL04858
SKU000134,SEL00213
SKU000134,SEL00989
SKU000135,SEL01413
SKU000135,SEL02317
SKU000135,SEL03311
SKU000135,SEL03603
SKU000136,SEL00879
