product_id,sku_id,product_name,brand_id,category_id,description,launch_date,status
P000000,SKU000000,Watch 71,BR00537,CAT005,Theory almost tree.,2024-10-02,ACTIVE
P000001,SKU000001,Jacket 754,BR00482,CAT001,When later expert foreign college exactly. Allow myself respond measure stand allow cold center.,2024-12-10,ACTIVE
P000002,SKU000002,Headphones 386,BR00812,CAT002,Blood age over join fast past recent. Ground moment direction never around wait race maintain.,2024-06-01,ACTIVE
P000003,SKU000003,Backpack 901,BR00301,CAT002,Enter picture note sing. Great mind cultural officer.,2026-02-16,ACTIVE
P000004,SKU000004,Jacket 46,BR00348,CAT004,Several staff subject run another eight. Strong fly century right specific pick.,2024-01-20,ACTIVE
P000005,SKU000005,T-Shirt 686,BR00813,CAT001,Central cup system start sea. Term artist pay our against financial impact. Young arrive brother.,2024-04-13,ACTIVE
P000006,SKU000006,Laptop 314,BR00546,CAT005,Throw role lot. Help describe at threat anyone identify chance.,2024-09-25,ACTIVE
P000007,SKU000007,Jacket 532,BR00752,CAT004,Song window contain individual place. Despite born produce improve.,2025-11-20,ACTIVE
P000008,SKU000008,Sneakers 85,BR00389,CAT003,Wife only bring matter establish. Bad card show so.,2024-09-06,ACTIVE
P000009,SKU000009,T-Shirt 381,BR00547,CAT001,Cover main scientist number music. Activity across ask study over art. His account describe.,2025-04-13,ACTIVE
P000010,SKU000010,Jacket 582,BR00239,CAT004,By take little training single. Life majority analysis open.,2024-09-26,ACTIVE
P000011,SKU000011,Saree 990,BR00323,CAT001,Guy doctor beyond stock line them. Game factor even work.,2026-06-28,ACTIVE
P000012,SKU000012,Watch 327,BR00082,CAT004,Join her road whatever. Morning rock final leave others. Cell will general class TV.,2026-03-08,ACTIVE
P000013,SKU000013,Saree 332,BR00670,CAT003,Investment now us box. Space law leader statement down begin build.,2024-06-15,ACTIVE
P000014,SKU000014,Sneakers 69,BR00854,CAT005,Simple place music note network best summer. Defense life college forget seat look result.,2025-08-18,ACTIVE
P000015,SKU000015,Backpack 841,BR00360,CAT001,Soon short election mean former power. See shake mother work our.,2024-07-10,ACTIVE
P000016,SKU000016,Headphones 675,BR00220,CAT004,Image able seek modern significant. Another cell forward decision clearly.,2026-05-14,ACTIVE
P000017,SKU000017,Backpack 670,BR00549,CAT004,Politics human look.,2026-02-03,ACTIVE
P000018,SKU000018,Saree 466,BR00544,CAT003,"Left yourself force hand force. Western grow item worry.
Address star Congress program.",2024-03-16,ACTIVE
P000019,SKU000019,Backpack 197,BR00122,CAT003,Success program teach most. Matter maybe their physical.,2024-01-14,ACTIVE
P000020,SKU000020,Saree 424,BR00338,CAT002,Line science sport test ability. Wait American onto. Several believe notice assume everybody could.,2024-10-07,ACTIVE
P000021,SKU000021,Backpack 630,BR00761,CAT002,Anyone sing member other receive. However hundred million research. Focus type all.,2024-07-04,ACTIVE
P000022,SKU000022,Watch 261,BR00016,CAT005,Not thousand language wind. Deal decade rich leg myself character strategy want.,2024-11-24,ACTIVE
P000023,SKU000023,Laptop 4,BR00181,CAT005,Board tonight respond into ability. Recent machine democratic by modern.,2026-08-25,ACTIVE
P000024,SKU000024,Watch 99,BR00581,CAT004,Public region party fear part.,2025-04-24,ACTIVE
P000025,SKU000025,Laptop 167,BR00699,CAT003,Five opportunity model economy something. Memory between what market.,2025-05-01,ACTIVE
P000026,SKU000026,Jacket 662,BR00671,CAT003,Think house military young during affect evidence. Writer meet skill reality. Seek arrive hair.,2024-07-21,ACTIVE
P000027,SKU000027,T-Shirt 298,BR00284,CAT002,Series yard much realize. Agency which music live so reflect Mr.,2024-05-08,ACTIVE
P000028,SKU000028,Watch 246,BR00464,CAT005,Very moment century how. Be war hundred another. Try both draw.,2026-02-01,ACTIVE
P000029,SKU000029,Backpack 587,BR00590,CAT002,Deal involve thousand identify student. Food let available wrong.,2025-05-17,ACTIVE
P000030,SKU000030,T-Shirt 457,BR00306,CAT004,Customer condition within manager stock. Space three how heart effect.,2023-12-28,ACTIVE
P000031,SKU000031,Backpack 403,BR00780,CAT004,Writer top successful.,2026-04-30,ACTIVE
P000032,SKU000032,Headphones 876,BR00921,CAT001,Want mean medical strategy environmental doctor fire. Figure medical get responsibility.,2025-08-01,ACTIVE
P000033,SKU000033,Jeans 698,BR00445,CAT002,Partner beautiful develop enjoy someone professional certain. Adult into man whose girl knowledge.,2024-12-15,ACTIVE
P000034,SKU000034,Jacket 285,BR00982,CAT004,Its position imagine note community south forward. Bring recently education soldier.,2025-06-04,ACTIVE
P000035,SKU000035,Jeans 274,BR00064,CAT001,Soon join shoulder message he company. Science include according.,2024-07-21,ACTIVE
P000036,SKU000036,Saree 460,BR00527,CAT001,Argue possible open how. Include wind wait better young memory hard let.,2026-01-25,ACTIVE
P000037,SKU000037,Headphones 33,BR00241,CAT003,Television onto family certainly. Put need admit resource school table blue.,2026-05-13,ACTIVE
P000038,SKU000038,T-Shirt 279,BR00521,CAT001,Force scene financial tend. Firm three everything generation environmental.,2024-04-14,ACTIVE
P000039,SKU000039,Headphones 918,BR00151,CAT001,Fear floor every however form glass. Stage attention best peace beautiful today party.,2026-02-23,ACTIVE
P000040,SKU000040,Jacket 27,BR00461,CAT001,But memory help hot. Say born traditional spend everything right what.,2024-03-08,ACTIVE
P000041,SKU000041,Jacket 507,BR00909,CAT002,Natural call company strategy. Fill hope board win modern but.,2025-11-03,ACTIVE
P000042,SKU000042,Backpack 155,BR00415,CAT005,"Shake house yes chance detail.
Fact that box stay. She detail daughter page.",2026-06-23,ACTIVE
P000043,SKU000043,Laptop 220,BR00320,CAT004,School consider way everyone write. Maintain operation no type of really responsibility instead.,2026-08-25,ACTIVE
P000044,SKU000044,T-Shirt 788,BR00610,CAT004,Throw scientist national seek while local get. Its we lead address.,2025-12-13,ACTIVE
P000045,SKU000045,Watch 503,BR00833,CAT005,Later charge thing nation.,2025-02-24,ACTIVE
P000046,SKU000046,Sneakers 293,BR00929,CAT005,Learn group red play her nice democratic dog. Build ability mother executive.,2026-01-11,ACTIVE
P000047,SKU000047,Watch 139,BR00152,CAT003,Policy yeah certainly general security drop gas.,2026-04-19,ACTIVE
P000048,SKU000048,Laptop 560,BR00468,CAT003,Investment appear true campaign. However friend final inside station poor.,2025-08-05,ACTIVE
P000049,SKU000049,Headphones 597,BR00885,CAT002,Big feeling car relationship event huge. Themselves practice four father develop.,2026-05-03,ACTIVE
P000050,SKU000050,T-Shirt 881,BR00973,CAT004,Common another tough year. Public never news customer sign often.,2025-08-14,ACTIVE
P000051,SKU000051,Jacket 887,BR00637,CAT004,Rather specific worry. Billion tonight onto ago kid paper. Few responsibility its even.,2026-05-21,ACTIVE
P000052,SKU000052,Sneakers 875,BR00528,CAT004,President result tax song chance cover ball firm. Seat wish today someone.,2024-03-09,ACTIVE
P000053,SKU000053,Jacket 645,BR00530,CAT004,Knowledge hospital hand best southern agreement. Commercial notice sort today summer safe past.,2026-02-27,ACTIVE
P000054,SKU000054,Laptop 325,BR00083,CAT005,"Order section tree carry key kid.
Will now in rich describe. Stuff fact relate party.",2025-03-03,ACTIVE
P000055,SKU000055,Headphones 994,BR00520,CAT003,Operation wife place easy democratic rich week nation. First recognize catch pick never.,2024-05-19,ACTIVE
P000056,SKU000056,Sneakers 946,BR00696,CAT004,Wait within research. He product opportunity. Main blood rock push culture according.,2024-09-21,ACTIVE
P000057,SKU000057,Jeans 949,BR00539,CAT003,Campaign throw either first early who exactly fish. Life however why study staff voice effort bad.,2024-01-22,ACTIVE
P000058,SKU000058,Sneakers 300,BR00354,CAT005,Why plant sister once animal sit. Number fine too look century discuss.,2025-12-13,ACTIVE
P000059,SKU000059,Saree 557,BR00700,CAT004,Skill number live life. Car condition mind style. Where foreign worry.,2023-12-09,ACTIVE
P000060,SKU000060,Laptop 182,BR00350,CAT001,Political peace history itself area career. Use great enjoy leave write.,2024-05-02,ACTIVE
P000061,SKU000061,Backpack 913,BR00861,CAT003,Necessary us stock computer structure event.,2025-12-11,ACTIVE
P000062,SKU000062,T-Shirt 451,BR00115,CAT002,From pull sister as. Safe tend study process least nothing senior.,2025-03-22,ACTIVE
P000063,SKU000063,Watch 909,BR00548,CAT001,Station them television. Energy economic rest.,2024-10-19,ACTIVE
P000064,SKU000064,T-Shirt 515,BR00565,CAT003,"Particularly kid low three act.
Quality animal article official north upon.",2024-02-26,ACTIVE
P000065,SKU000065,Jeans 181,BR00127,CAT005,Protect now myself already accept stop change pull. Similar at goal ten region we marriage.,2025-08-16,ACTIVE
P000066,SKU000066,Jeans 546,BR00740,CAT001,Offer ground performance girl. Amount attention single card much.,2026-06-21,ACTIVE
P000067,SKU000067,Headphones 711,BR00969,CAT004,Behavior foreign cold. Small that week technology not. Each million involve recognize remain offer.,2025-02-23,ACTIVE
P000068,SKU000068,Saree 276,BR00185,CAT004,Learn standard animal child against its whom. Race no popular. Result test carry.,2025-03-14,ACTIVE
P000069,SKU000069,Saree 435,BR00760,CAT003,Lay somebody manage skin. Decision its whatever nation.,2024-01-03,ACTIVE
P000070,SKU000070,Sneakers 789,BR00871,CAT003,Decade case decade method expect. Factor animal young dark rise you allow.,2023-12-20,ACTIVE
P000071,SKU000071,Saree 160,BR00664,CAT005,Kitchen create visit hope memory. Center position fund this.,2025-03-29,ACTIVE
P000072,SKU000072,Backpack 351,BR00866,CAT005,"Model story of morning. Shoulder reveal cup member.
Them drive research address step all.",2025-08-13,ACTIVE
P000073,SKU000073,Jeans 809,BR00458,CAT004,Think ground note feeling wind. Something board ok lawyer here. Usually coach sign structure find.,2024-04-01,ACTIVE
P000074,SKU000074,Laptop 387,BR00371,CAT003,Culture threat seem style clear week degree. Whom parent player believe south.,2026-02-04,ACTIVE
P000075,SKU000075,Jeans 748,BR00824,CAT003,Maintain movement require.,2023-10-11,ACTIVE
P000076,SKU000076,Watch 868,BR00332,CAT001,Week bill skill admit. Final conference control herself consumer drop.,2024-04-11,ACTIVE
P000077,SKU000077,Headphones 938,BR00824,CAT003,Bad almost play such stop serve. News production area moment value page.,2024-09-02,ACTIVE
P000078,SKU000078,Headphones 615,BR00043,CAT002,Production shoulder sister cut raise. Treatment available movement.,2024-07-06,ACTIVE
P000079,SKU000079,Jeans 778,BR00371,CAT001,Scene face process. Level friend enjoy clear glass again. Music across above above trade.,2026-04-19,ACTIVE
P000080,SKU000080,Headphones 420,BR00670,CAT004,Recognize little offer past. Themselves measure meeting not threat character.,2024-05-16,ACTIVE
