seller_id,seller_name,seller_type,city,state,rating
SEL00000,"Hoffman, Roman and Hamilton",DISTRIBUTOR,Nicholasfort,Connecticut,3.65
SEL00001,Young LLC,DISTRIBUTOR,Robertstad,Iowa,4.15
SEL00002,Lucas-Thomas,BRAND,New Kathleen,Minnesota,3.42
SEL00003,Gordon-House,MARKETPLACE,Blairmouth,Montana,2.61
SEL00004,Mcclure Group,BRAND,Michealmouth,Kansas,4.56
SEL00005,"Flores, Bell and White",DISTRIBUTOR,Lake Brandibury,Minnesota,2.6
SEL00006,Perez-Hernandez,BRAND,Foxborough,Illinois,4.77
SEL00007,Smith-Flores,BRAND,Wellsside,Minnesota,3.2
SEL00008,Huffman Group,DISTRIBUTOR,North Jasonport,Alaska,4.74
SEL00009,Salazar-Hall,MARKETPLACE,South Barryhaven,North Dakota,4.21
SEL00010,Bennett PLC,BRAND,South Reneefort,Wyoming,4.36
SEL00011,"Perez, Thompson and Lawson",DISTRIBUTOR,East Robin,Texas,4.72
SEL00012,"Ingram, Petty and Douglas",MARKETPLACE,Markborough,Washington,4.69
SEL00013,Bailey-Watson,DISTRIBUTOR,North Meganhaven,Kentucky,4.25
SEL00014,"Morris, Boyd and Gomez",DISTRIBUTOR,Lake Kevintown,Nevada,4.12
SEL00015,Roberts-Jones,DISTRIBUTOR,East Joshua,Washington,4.07
SEL00016,Gaines-Brown,MARKETPLACE,Danafort,Indiana,3.1
SEL00017,Lane-Sanders,MARKETPLACE,North Davidtown,Utah,4.67
SEL00018,Lowe-Carr,BRAND,Robertburgh,California,4.42
SEL00019,"Lee, Fuller and Eaton",DISTRIBUTOR,Owensborough,Michigan,3.7
SEL00020,Ferrell-Moore,MARKETPLACE,Cookland,North Carolina,3.73
SEL00021,"Smith, Madden and White",BRAND,South Stephenberg,Nebraska,2.87
SEL00022,Smith-Sexton,BRAND,North Aliciaberg,Kentucky,3.57
SEL00023,Patterson-Lee,BRAND,North Karen,Oregon,3.57
SEL00024,Schmidt-Smith,DISTRIBUTOR,East Nicole,Pennsylvania,3.26
SEL00025,Ward LLC,BRAND,Paulport,West Virginia,4.05
SEL00026,"Allen, Ray and Gonzalez",MARKETPLACE,Kristinfort,Texas,3.38
SEL00027,"Cole, Tate and Hunter",MARKETPLACE,Kevinbury,Missouri,4.98
SEL00028,"Simon, Wallace and Little",MARKETPLACE,New Jenniferburgh,Washington,3.01
SEL00029,Clark and Sons,MARKETPLACE,Landryhaven,Illinois,4.5
SEL00030,Rice Group,MARKETPLACE,North Courtneyville,Montana,3.61
SEL00031,Elliott-Johns,DISTRIBUTOR,Lake Patrick,Illinois,2.69
SEL00032,Sawyer-Shaw,MARKETPLACE,South Shannon,South Dakota,4.98
SEL00033,Grant-Johnson,MARKETPLACE,Port Michellebury,Tennessee,3.34
SEL00034,"Peterson, Miles and Clark",DISTRIBUTOR,Brianview,Wisconsin,4.99
SEL00035,Newman-Bradley,MARKETPLACE,North Patriciahaven,Colorado,3.83
SEL00036,King LLC,BRAND,Burgessmouth,Illinois,3.09
SEL00037,Rosales-Wagner,BRAND,South Geraldborough,Idaho,4.54
SEL00038,Smith PLC,DISTRIBUTOR,West Amberchester,Massachusetts,4.61
SEL00039,"Robbins, Davies and Lawson",DISTRIBUTOR,Jonathanton,Illinois,4.01
SEL00040,Rodriguez-Douglas,BRAND,Brianchester,New Hampshire,3.41
SEL00041,Bonilla-Cochran,DISTRIBUTOR,New Matthew,Connecticut,2.99
SEL00042,Bennett Ltd,DISTRIBUTOR,Port Loriside,Mississippi,3.78
SEL00043,Lewis-Ramirez,MARKETPLACE,Greenebury,New York,2.64
SEL00044,Johnson and Sons,DISTRIBUTOR,North Reneeport,Louisiana,3.98
SEL00045,Thompson and Sons,DISTRIBUTOR,Lake Kimberlyland,Nebraska,3.17
SEL00046,"Smith, White and Velez",BRAND,Lake Zachary,Rhode Island,3.83
SEL00047,Williams and Sons,MARKETPLACE,Johnmouth,Kansas,4.26
SEL00048,Smith PLC,BRAND,New Davidside,Georgia,3.41
SEL00049,Lawson-Wall,BRAND,Port Cesartown,Maine,3.03
