supplier_id,supplier_name,country,lead_time_days
SUP00000,Figueroa and Sons,Italy,39
SUP00001,"Martin, Barrett and Bell",Fiji,14
SUP00002,"Carlson, Decker and Ashley",Belize,28
SUP00003,Roberts-Garcia,Zimbabwe,43
SUP00004,Chavez Ltd,Nepal,8
SUP00005,Roth Ltd,Bahamas,26
SUP00006,Sullivan-Holmes,Christmas Island,30
SUP00007,"Johnson, Esparza and Deleon",Guadeloupe,21
SUP00008,Jones-Rose,Kazakhstan,32
SUP00009,"Mitchell, Chandler and Jackson",Argentina,24
SUP00010,"Hernandez, Pittman and Barber",Mali,48
SUP00011,Jones-Bond,Portugal,37
SUP00012,Marshall-Hill,Ecuador,42
SUP00013,"Martinez, Austin and Barrett",Myanmar,45
SUP00014,Hawkins-Montgomery,Venezuela,48
SUP00015,Harvey-Davis,Saudi Arabia,31
SUP00016,Lewis-Harvey,Papua New Guinea,11
SUP00017,Lyons-Noble,Cape Verde,39
SUP00018,"Acosta, Thomas and Mcknight",Jersey,12
SUP00019,"Young, Andersen and Taylor",Isle of Man,11
SUP00020,"Henson, Cox and Carter",Zambia,31
SUP00021,Reyes LLC,Gibraltar,4
SUP00022,"Bryant, Knapp and Spence",United Kingdom,43
SUP00023,"Jackson, Mejia and Lowery",Antigua and Barbuda,34
SUP00024,Hardy PLC,Cayman Islands,54
SUP00025,Richardson-Rogers,French Southern Territories,60
SUP00026,Gordon-Floyd,Ethiopia,59
SUP00027,"Morris, Lewis and Gomez",Liberia,22
SUP00028,Diaz Group,Solomon Islands,21
SUP00029,"Novak, Mcgee and Atkins",El Salvador,18
SUP00030,"Burns, Walters and Murphy",India,50
SUP00031,Washington-Simon,Pakistan,18
SUP00032,"White, Taylor and Peterson",Argentina,43
SUP00033,"Reynolds, Martin and Silva",Latvia,6
SUP00034,Crawford Group,Switzerland,37
SUP00035,Cooper PLC,United Kingdom,22
SUP00036,"Wilson, Taylor and Lane",Djibouti,46
SUP00037,Vasquez and Sons,Sri Lanka,7
SUP00038,Krueger-Mclean,French Polynesia,4
SUP00039,Barnes-Clark,Solomon Islands,33
SUP00040,Bishop-Munoz,Bermuda,35
SUP00041,"Wilson, Montgomery and Anderson",British Indian Ocean Territory (Chagos Archipelago),8
SUP00042,"Walter, Thompson and Rodriguez",Tunisia,19
SUP00043,Bridges Ltd,Greece,57
SUP00044,"Thompson, Turner and Garcia",Qatar,53
SUP00045,Kent Inc,Heard Island and McDonald Islands,39
SUP00046,Anderson-Ford,Qatar,38
SUP00047,"Lyons, Perez and Peterson",Qatar,12
SUP00048,Fowler-Gray,Dominican Republic,42
SUP00049,Allen-Vargas,Turkey,13
SUP00050,Rodriguez-Lewis,Macao,25
SUP00051,Anderson Group,Cameroon,35
SUP00052,Nolan-Taylor,Paraguay,38
SUP00053,Williams Ltd,North Macedonia,19
SUP00054,Lowery-Rivera,Lesotho,43
SUP00055,"Butler, Paul and Mason",Myanmar,51
SUP00056,Armstrong-Garcia,Costa Rica,60
SUP00057,Thomas and Sons,Lebanon,45
SUP00058,Martinez PLC,Thailand,59
SUP00059,"Petty, Hart and Case",Fiji,35
SUP00060,Roman Ltd,Paraguay,59
SUP00061,"Young, Aguirre and Velez",Sierra Leone,8
SUP00062,Hayes-Roberts,Panama,31
SUP00063,Norman-Bowers,Saudi Arabia,12
SUP00064,"Holland, Williams and Michael",Panama,16
SUP00065,Vega Ltd,Tuvalu,28
SUP00066,"Proctor, Brown and Mullen",Rwanda,41
SUP00067,Carter-Weaver,Qatar,11
SUP00068,Keller and Sons,Iraq,29
SUP00069,Miller-Sullivan,Chad,42
SUP00070,Wells Ltd,Marshall Islands,22
SUP00071,Chaney PLC,Syrian Arab Republic,11
SUP00072,"Moran, Johnson and Cole",Tunisia,8
SUP00073,Petersen-Mullins,Cocos (Keeling) Islands,53
SUP00074,Rodriguez-Curtis,Anguilla,26
SUP00075,Williams and Sons,Jersey,48
SUP00076,Holloway and Sons,Saint Barthelemy,46
SUP00077,"Smith, Vasquez and Spence",Grenada,58
SUP00078,Hall Ltd,Netherlands Antilles,27
SUP00079,Good Inc,British Indian Ocean Territory (Chagos Archipelago),8
SUP00080,"Mcclure, Miller and Daniels",Liechtenstein,46
SUP00081,"Burns, Mitchell and Tyler",Israel,58
SUP00082,"Shepherd, Avery and Fowler",Malaysia,18
SUP00083,West PLC,Philippines,58
SUP00084,Flores-Whitney,Sudan,13
SUP00085,Villarreal and Sons,Libyan Arab Jamahiriya,28
SUP00086,Haley-Spencer,Guadeloupe,40
SUP00087,"Duran, Fuller and Edwards",Belgium,20
SUP00088,"Wilson, Mcdowell and Simmons",Saint Kitts and Nevis,24
SUP00089,Villegas-Anderson,Singapore,33
SUP00090,"Maynard, Miranda and Snyder",Suriname,4
SUP00091,Clark-Hall,Bolivia,57
SUP00092,Baker-Foster,Norfolk Island,16
SUP00093,"Henson, Johnson and Hernandez",Iceland,17
SUP00094,"Reid, Downs and Kennedy",Kenya,33
SUP00095,Dickerson Inc,Jamaica,10
SUP00096,"Ramos, Young and Grant",San Marino,38
SUP00097,"Wilkinson, Carpenter and Ingram",Cook Islands,20
SUP00098,Dean LLC,Monaco,40
SUP00099,"Evans, Henderson and Conley",Estonia,30
SUP00100,Wyatt Inc,Guadeloupe,38
SUP00101,"Smith, Sloan and Smith",Saint Vincent and the Grenadines,30
SUP00102,Garcia LLC,Niue,13
SUP00103,Murray-Pitts,Slovenia,56
SUP00104,Landry-Crane,Belize,43
SUP00105,Carpenter Group,New Zealand,17
SUP00106,Poole Inc,Sierra Leone,18
SUP00107,Griffin-Gallegos,Cote d'Ivoire,44
SUP00108,"Duarte, Haley and Ramirez",Saudi Arabia,31
SUP00109,Kaiser Ltd,Malaysia,37
SUP00110,Nelson PLC,Armenia,7
SUP00111,"Price, Page and Zuniga",Zambia,5
SUP00112,Quinn Group,Tanzania,4
SUP00113,Baldwin and Sons,Sudan,36
SUP00114,Hodges PLC,Saint Vincent and the Grenadines,56
SUP00115,Kim Group,Tokelau,20
SUP00116,Johnson Group,Saint Kitts and Nevis,37
SUP00117,"Smith, Dillon and Torres",Reunion,54
SUP00118,"Perez, Perez and Castillo",Mauritius,11
SUP00119,Ochoa Inc,Kuwait,32
SUP00120,"Gardner, Wilson and Poole",Bangladesh,52
SUP00121,Gutierrez LLC,Albania,55
SUP00122,"Shelton, Ayala and Morton",Madagascar,39
SUP00123,Roberts-Torres,Germany,7
SUP00124,"Barber, Perkins and Hunt",Austria,43
SUP00125,Gibson-Martinez,Croatia,13
SUP00126,"Hernandez, Hill and Henry",Guatemala,38
SUP00127,"Sutton, Fernandez and Lopez",Rwanda,8
SUP00128,Morgan-Gonzales,Falkland Islands (Malvinas),10
SUP00129,Joseph and Sons,Niger,4
SUP00130,"Russo, Rodriguez and Castro",Korea,24
SUP00131,Morgan Group,Saint Kitts and Nevis,17
SUP00132,"Best, Smith and Perry",Bouvet Island (Bouvetoya),40
SUP00133,"Johnson, Harrell and Hansen",Cook Islands,57
SUP00134,"Marshall, Henry and Dickerson",Cape Verde,22
SUP00135,Gonzales Ltd,Sao Tome and Principe,52
SUP00136,Tucker LLC,United Kingdom,19
SUP00137,"Walker, Owens and Mooney",Nepal,53
SUP00138,"Conway, Horton and Roberts",Niger,18
SUP00139,"Alvarado, Jackson and Rivers",Bouvet Island (Bouvetoya),34
SUP00140,Miller-Garcia,Lithuania,28
SUP00141,Powers-Chambers,Falkland Islands (Malvinas),57
SUP00142,Williams-Stevenson,Afghanistan,39
SUP00143,Miller Ltd,South Africa,57
SUP00144,Wilson LLC,North Macedonia,48
SUP00145,Garcia-Gilbert,Central African Republic,60
SUP00146,Howell PLC,Djibouti,51
SUP00147,Jackson-Schroeder,France,18
SUP00148,Ballard-Moore,Costa Rica,52
SUP00149,King-Ryan,Sri Lanka,33
SUP00150,"Sanders, Bauer and Dennis",Costa Rica,12
SUP00151,"Beasley, Morris and Ramirez",Syrian Arab Republic,42
SUP00152,Robbins and Sons,Russian Federation,3
SUP00153,Rose Inc,Germany,43
SUP00154,Simmons-Ellis,Venezuela,24
SUP00155,"Rodriguez, Andrews and Ward",Bosnia and Herzegovina,45
SUP00156,Frank Inc,Guadeloupe,6
SUP00157,"Humphrey, Garrison and Hunt",Liberia,4
SUP00158,"Simon, Simpson and Cunningham",Sierra Leone,56
SUP00159,"Poole, Lang and Wilson",Reunion,42
SUP00160,"Green, Gates and Rivera",Cape Verde,46
SUP00161,Johnson-Smith,Estonia,15
SUP00162,Huffman-Coleman,New Zealand,9
SUP00163,Rodriguez-Hahn,Belarus,43
SUP00164,Norris-Jensen,Bahrain,21
SUP00165,Campbell-Johnson,Comoros,48
SUP00166,"Fowler, Harper and Harris",Finland,59
SUP00167,Vasquez Inc,Ukraine,39
SUP00168,Smith and Sons,Western Sahara,42
SUP00169,"Bean, Kennedy and Melendez",Micronesia,39
SUP00170,Foster PLC,Portugal,27
SUP00171,White-Bullock,Timor-Leste,51
SUP00172,"Delacruz, Avery and Brown",Lao People's Democratic Republic,48
SUP00173,"Bailey, Miller and Cameron",Argentina,55
SUP00174,Morrison and Sons,Tajikistan,59
SUP00175,Daniels-Stanley,French Guiana,53
SUP00176,Dennis LLC,United Arab Emirates,5
SUP00177,Anderson Ltd,Cyprus,6
SUP00178,Owens and Sons,Kenya,19
SUP00179,"Fuentes, Guerrero and Fry",Malta,18
SUP00180,"Howe, Horton and Clark",Azerbaijan,48
