warehouse_id,warehouse_name,city,state,capacity
WH000,Warehouse-0,Leonborough,New Jersey,68262
WH001,Warehouse-1,Joefort,New Hampshire,69282
WH002,Warehouse-2,Marktown,Arkansas,66459
WH003,Warehouse-3,South Elaineshire,Wyoming,73049
WH004,Warehouse-4,East Victor,Louisiana,28248
WH005,Warehouse-5,South Ryan,Tennessee,74444
WH006,Warehouse-6,New Andrewborough,West Virginia,25074
WH007,Warehouse-7,Port Christopher,Georgia,27652
WH008,Warehouse-8,Lopezton,Mississippi,89778
WH009,Warehouse-9,North Cindy,Virginia,74926
WH010,Warehouse-10,Brookeland,Pennsylvania,89797
WH011,Warehouse-11,Jackieberg,Florida,31230
WH012,Warehouse-12,North Jonathan,Montana,43982
WH013,Warehouse-13,East Kimberly,Wisconsin,27761
WH014,Warehouse-14,Lake Garrett,Pennsylvania,8976
WH015,Warehouse-15,Galvanmouth,South Carolina,6020
WH016,Warehouse-16,Mcclainland,California,42638
WH017,Warehouse-17,Tylerfurt,Maine,95783
WH018,Warehouse-18,North Shawn,New Hampshire,41690
WH019,Warehouse-19,South Taylorshire,California,88485
WH020,Warehouse-20,Jimenezview,Connecticut,56438
WH021,Warehouse-21,Stephanieport,Rhode Island,85741
WH022,Warehouse-22,Abigailborough,South Carolina,48316
WH023,Warehouse-23,Leeville,Maine,38139
WH024,Warehouse-24,West Christopher,Virginia,36640
